benchmark,run,result,removed instructions,percent removed
ackermann,licm,1464231,0,0.0
binary-fmt,licm,100,0,0.0
binary-search,licm,78,0,0.0
fact,licm,229,0,0.0
fitsinside,licm,10,0,0.0
hanoi,licm,99,0,0.0
ray-sphere-intersection,licm,142,0,0.0
check-primes,licm,8469,-1,-0.0001180916391119
factors,licm,73,-1,-0.0138888888888888
pascals-row,licm,149,-3,-0.0205479452054794
bitshift,licm,171,-4,-0.0239520958083832
fizz-buzz,licm,3753,-101,-0.0276560788608981
euclid,licm,586,-23,-0.0408525754884547
vsmul,licm,90133,-4097,-0.0476196010972151
birthday,licm,508,-24,-0.0495867768595041
sum-sq-diff,licm,3242,-204,-0.0671494404213298
pow,licm,39,-3,-0.0833333333333333
dead-branch,licm,1297,-101,-0.084448160535117
sum-bits,licm,80,-7,-0.0958904109589041
newton,licm,243,-26,-0.1198156682027649
rectangles-area-difference,licm,16,-2,-0.1428571428571428
major-elm,licm,54,-7,-0.1489361702127659
catalan,licm,757792,-98414,-0.1492527806508558
armstrong,licm,153,-20,-0.150375939849624
loopfact,licm,134,-18,-0.1551724137931034
riemann,licm,345,-47,-0.1577181208053691
max-subarray,licm,226,-33,-0.1709844559585492
palindrome,licm,350,-52,-0.174496644295302
gcd,licm,57,-11,-0.2391304347826087
n_root,licm,975,-242,-0.330150068212824
fib,licm,165,-44,-0.3636363636363636
sum-check,licm,7020,-2002,-0.3989637305699481
